"Plot Title: Zegveld 2"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20143715, SEN S/N: 20143715)","Intensity, Lux (LGR S/N: 20143715, SEN S/N: 20143715)","Coupler Detached (LGR S/N: 20143715)","End Of File (LGR S/N: 20143715)"
229,06/06/18 10:12:09 AM,21.951,0.0,,
230,06/06/18 10:12:39 AM,21.855,0.0,,
231,06/06/18 10:13:09 AM,21.855,0.0,,
232,06/06/18 10:13:39 AM,21.855,0.0,,
233,06/06/18 10:14:09 AM,21.760,0.0,,
234,06/06/18 10:14:39 AM,21.760,0.0,,
235,06/06/18 10:15:09 AM,21.760,0.0,,
236,06/06/18 10:15:39 AM,21.664,0.0,,
237,06/06/18 10:16:09 AM,21.664,0.0,,
238,06/06/18 10:16:39 AM,21.569,0.0,,
239,06/06/18 10:17:09 AM,21.569,0.0,,
240,06/06/18 10:17:39 AM,21.569,0.0,,
241,06/06/18 10:18:09 AM,21.473,0.0,,
242,06/06/18 10:18:39 AM,21.473,0.0,,
243,06/06/18 10:19:09 AM,21.473,0.0,,
244,06/06/18 10:19:39 AM,21.378,43.1,,
245,06/06/18 10:20:09 AM,21.473,2927.8,,
246,06/06/18 10:20:39 AM,21.569,2927.8,,
247,06/06/18 10:21:09 AM,21.760,1463.9,,
248,06/06/18 10:21:39 AM,21.951,516.7,,
249,06/06/18 10:22:09 AM,22.238,3444.5,,
250,06/06/18 10:22:39 AM,22.429,1894.5,,
251,06/06/18 10:23:09 AM,22.717,1808.3,,
252,06/06/18 10:23:39 AM,22.908,505.9,,
253,06/06/18 10:24:09 AM,23.100,635.1,,
254,06/06/18 10:24:39 AM,23.100,624.3,,
255,06/06/18 10:25:09 AM,23.196,624.3,,
256,06/06/18 10:25:39 AM,23.292,656.6,,
257,06/06/18 10:26:09 AM,23.292,624.3,,
258,06/06/18 10:26:39 AM,23.388,624.3,,
259,06/06/18 10:27:09 AM,23.388,495.1,,
260,06/06/18 10:27:39 AM,23.484,678.1,,
261,06/06/18 10:28:09 AM,23.484,645.8,,
262,06/06/18 10:28:39 AM,23.581,635.1,,
263,06/06/18 10:29:09 AM,23.581,635.1,,
264,06/06/18 10:29:39 AM,23.581,645.8,,
265,06/06/18 10:30:09 AM,23.677,635.1,,
266,06/06/18 10:30:39 AM,23.677,624.3,,
267,06/06/18 10:31:09 AM,23.773,645.8,,
268,06/06/18 10:31:39 AM,23.773,645.8,,
269,06/06/18 10:32:09 AM,23.869,635.1,,
270,06/06/18 10:32:39 AM,23.869,635.1,,
271,06/06/18 10:33:09 AM,23.869,645.8,,
272,06/06/18 10:33:39 AM,23.966,645.8,,
273,06/06/18 10:34:09 AM,23.966,645.8,,
274,06/06/18 10:34:39 AM,24.062,635.1,,
275,06/06/18 10:35:09 AM,24.062,645.8,,
276,06/06/18 10:35:39 AM,24.158,645.8,,
277,06/06/18 10:36:09 AM,24.158,645.8,,
278,06/06/18 10:36:39 AM,24.158,656.6,,
279,06/06/18 10:37:09 AM,24.255,656.6,,
280,06/06/18 10:37:39 AM,24.255,645.8,,
281,06/06/18 10:38:09 AM,24.351,645.8,,
282,06/06/18 10:38:39 AM,24.351,914.9,,
283,06/06/18 10:39:09 AM,24.351,904.2,,
284,06/06/18 10:39:39 AM,24.351,904.2,,
285,06/06/18 10:40:09 AM,24.351,904.2,,
286,06/06/18 10:40:39 AM,24.255,904.2,,
287,06/06/18 10:41:09 AM,24.641,16533.4,,
288,06/06/18 10:41:39 AM,25.610,13777.9,,
289,06/06/18 10:42:09 AM,26.585,93689.5,,
290,06/06/18 10:42:39 AM,26.585,5511.1,,
291,06/06/18 10:43:09 AM,26.585,6200.0,,
292,06/06/18 10:43:39 AM,26.683,6200.0,,
293,06/06/18 10:44:09 AM,26.781,6200.0,,
294,06/06/18 10:44:39 AM,26.879,6200.0,,
295,06/06/18 10:45:09 AM,26.977,6200.0,,
296,06/06/18 10:45:39 AM,26.977,6200.0,,
297,06/06/18 10:46:09 AM,27.075,6544.5,,
298,06/06/18 10:46:39 AM,27.075,6200.0,,
299,06/06/18 10:47:09 AM,27.173,6200.0,,
300,06/06/18 10:47:39 AM,27.272,6200.0,,
301,06/06/18 10:48:09 AM,27.272,6200.0,,
302,06/06/18 10:48:39 AM,27.370,6200.0,,
303,06/06/18 10:49:09 AM,27.370,5511.1,,
304,06/06/18 10:49:39 AM,27.468,6544.5,,
305,06/06/18 10:50:09 AM,27.468,6200.0,,
306,06/06/18 10:50:39 AM,27.567,6200.0,,
307,06/06/18 10:51:09 AM,27.567,6200.0,,
308,06/06/18 10:51:39 AM,27.567,6200.0,,
309,06/06/18 10:52:09 AM,27.567,6544.5,,
310,06/06/18 10:52:39 AM,27.567,6200.0,,
311,06/06/18 10:53:09 AM,27.567,4477.8,,
312,06/06/18 10:53:39 AM,27.468,3100.0,,
313,06/06/18 10:54:09 AM,27.468,3616.7,,
314,06/06/18 10:54:39 AM,27.468,3616.7,,
315,06/06/18 10:55:09 AM,27.567,3616.7,,
